"","screen_name","user_id","created_at","status_id","text","retweet_count","favorite_count","is_quote_status","quote_status_id","is_retweet","retweet_status_id","in_reply_to_status_status_id","in_reply_to_status_user_id","in_reply_to_status_screen_name","lang","source","media_id","media_url","media_url_expanded","urls","urls_display","urls_expanded","mentions_screen_name","mentions_user_id","symbols","hashtags","coordinates","place_id","place_type","place_name","place_full_name","country_code","country","bounding_box_coordinates","bounding_box_type"
"109","Snldiva","1026477853",2017-12-13 02:48:05,"940775303315623937","Refreshing the #NYTneedle like https://t.co/P4BETbjil4",1,4,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for Android","940775295170179072","http://pbs.twimg.com/tweet_video_thumb/DQ5OJYIU8AAFZB2.jpg","https://twitter.com/Snldiva/status/940775303315623937/photo/1",NA,NA,NA,NA,NA,NA,"NYTneedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","LoriPA","14354457",2017-12-13 02:47:11,"940775075829223425","OH: We're counting all our chickens in one basket. #NYTneedle",0,2,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYTneedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","cooper888","18176304",2017-12-13 02:46:37,"940774932308377600","#nytneedle https://t.co/kL7vU7OyFk",0,0,TRUE,"940774234070032384",FALSE,NA,NA,NA,NA,"und","Twitter for Android",NA,NA,NA,NA,"twitter.com/TUSK81/status/…","https://twitter.com/TUSK81/status/940774234070032384",NA,NA,NA,"nytneedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","BluishCheckMark","843994187121025024",2017-12-13 02:45:39,"940774688095076353","Nate Cohn is going all in tonight, and if he wins, he'll pull away from Nate Silver forever. #NytNeedle",0,1,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NytNeedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","TinaSimpson82","866999448647471104",2017-12-13 02:43:39,"940774187827949568","@Nate_Cohn @williamlegate You and that goddamn #nytneedle - getting my hope up!",1,1,FALSE,NA,FALSE,NA,"940773207979765760","463765807","Nate_Cohn","en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,"Nate_Cohn williamlegate","463765807 38029205",NA,"nytneedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","webjournalist","20398450",2017-12-13 02:42:27,"940773886370529280","Yo, @NYTNeedle, better start tweeting before your 15 minutes are up! #NYTNeedle #AlabamaSenateElection https://t.co/D67zwhrrcY",1,2,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPhone","940773858189000704","http://pbs.twimg.com/media/DQ5M1u9UQAAyLRB.jpg","https://twitter.com/webjournalist/status/940773886370529280/photo/1",NA,NA,NA,"NYTNeedle","940773207207944192",NA,"NYTNeedle AlabamaSenateElection",NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","sharkcaitt","1365022952",2017-12-13 02:42:26,"940773879093526528","That #NYTNeedle got me like https://t.co/K1dbAwjhxo",5,15,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPhone","940773868167245825","http://pbs.twimg.com/tweet_video_thumb/DQ5M2UIUMAEb_PU.jpg","https://twitter.com/sharkcaitt/status/940773879093526528/photo/1",NA,NA,NA,NA,NA,NA,"NYTNeedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","EKatz38","896684125",2017-12-13 02:41:49,"940773723799420928","Is there a hashtag for the #nytneedle? It's amazing",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for Android",NA,NA,NA,NA,NA,NA,NA,NA,NA,"nytneedle",NA,"1d9a5370a355ab0c","city","Chicago","Chicago, IL","US","United States","-87.940033 -87.523993 -87.523993 -87.940033 41.644102 41.644102 42.0230669 42.0230669","Polygon"
"117","BryanWatt2","320972356",2017-12-13 02:40:43,"940773446652481537","#NYTneedle https://t.co/q5Q1XqlqgK",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"und","Twitter for iPhone","940773440138518528","http://pbs.twimg.com/tweet_video_thumb/DQ5MdZmUIAAv42Z.jpg","https://twitter.com/BryanWatt2/status/940773446652481537/photo/1",NA,NA,NA,NA,NA,NA,"NYTneedle",NA,"01fbe706f872cb32","city","Washington","Washington, DC","US","United States","-77.119401 -76.909396 -76.909396 -77.119401 38.801826 38.801826 38.9953797 38.9953797","Polygon"
"118","ChelseaHallman","726587851",2017-12-13 02:40:16,"940773334593167360","Refreshing the #NYTNeedle every 10 seconds to remind myself Jones still has a shot is definitely great for my anxiety. <f0><U+009F><U+00A4><U+00A6><f0><U+009F><U+008F><U+00BC><U+200D><U+2640><U+FE0F>",0,1,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYTNeedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","kalkrishnan83","3893414532",2017-12-13 02:35:34,"940772153548402688","#NYTNeedle coming down from the sugar high",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYTNeedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Rinavicoria","31559461",2017-12-13 02:35:23,"940772106459021313","The #nytneedle is stressing me out. #DougJones  #AlabamaSenateElection",0,1,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,NA,NA,NA,"nytneedle DougJones AlabamaSenateElection",NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","cooper888","18176304",2017-12-13 02:34:08,"940771792703995904","#nytneedle I'm surprised there isn't a @nytneedle account yet? <f0><U+009F><U+00A4><U+0094>",0,2,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for Android",NA,NA,NA,NA,NA,NA,"NYTNeedle","940773207207944192",NA,"nytneedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","cookcanread","2981540890",2017-12-13 02:34:03,"940771771103502343","#NYTNeedle decides the fate of this nation... Or something like that. @UpshotNYT",1,1,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPad",NA,NA,NA,NA,NA,NA,"UpshotNYT","16955870",NA,"NYTNeedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","katherinelmcd","812105100206440448",2017-12-13 02:30:47,"940770949921636352","Y’all. This #NYTNeedle is too stressful. I can’t.",0,1,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYTNeedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
